folder,image_path,status,width,height
C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi\BubatBrt_20260512_225046.jpg,ok,640,480
C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi\BubatBrt_20260512_225125.jpg,ok,640,480
C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi\BubatBrt_20260512_225204.jpg,ok,640,480
C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi\BubatBrt_20260512_225242.jpg,ok,640,480
C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi\BubatBrt_20260512_225321.jpg,ok,640,480
C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi\BubatBrt_20260512_225400.jpg,ok,640,480
C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi\BubatBrt_20260512_225439.jpg,ok,640,480
C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi\BubatBrt_20260512_225519.jpg,ok,640,480
C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi\BubatBrt_20260512_225558.jpg,ok,640,480
C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi\BubatBrt_20260512_225636.jpg,ok,640,480
C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi\BubatBrt_20260512_225716.jpg,ok,640,480
C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi\BubatBrt_20260512_225755.jpg,ok,640,480
C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi\BubatBrt_20260512_225834.jpg,ok,640,480
C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi\BubatBrt_20260512_225912.jpg,ok,640,480
C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi\BubatBrt_20260512_225951.jpg,ok,640,480
C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi\BubatBrt_20260512_230030.jpg,ok,640,480
C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi\BubatBrt_20260512_230109.jpg,ok,640,480
C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi\BubatBrt_20260512_230148.jpg,ok,640,480
C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi\BubatBrt_20260512_230227.jpg,ok,640,480
C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi\BubatBrt_20260512_230305.jpg,ok,640,480
