epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.569,1.51281,3.43446,1.46913,0.38514,0.22907,0.23218,0.10279,1.79065,3.23089,1.60183,0.000197468,0.000197468,0.0804506
2,59.5389,1.39189,2.68725,1.3752,0.31719,0.34319,0.25584,0.14251,1.64991,2.67756,1.43208,0.000394845,0.000394845,0.060648
3,87.3666,1.35237,2.44609,1.35145,0.54048,0.37677,0.30804,0.17297,1.57638,2.5758,1.43368,0.000589582,0.000589582,0.0408427
4,115.375,1.35284,2.40293,1.35922,0.49366,0.28945,0.26534,0.16203,1.44152,2.87832,1.348,0.000781678,0.000781678,0.0210348
5,143.913,1.38719,2.45876,1.36276,0.66784,0.35288,0.3121,0.16914,1.61452,2.32543,1.42845,0.000971135,0.000971135,0.0012243
6,218.744,1.36971,2.41905,1.37155,0.65823,0.30339,0.29473,0.16638,1.49954,2.29091,1.3715,0.000967,0.000967,0.000967
7,339.536,1.35065,2.44098,1.37611,0.52727,0.3233,0.32796,0.17453,1.70704,2.27734,1.46386,0.0009604,0.0009604,0.0009604
8,368.285,1.29601,2.2627,1.33507,0.88937,0.24512,0.28805,0.15915,1.57637,2.29914,1.40913,0.0009538,0.0009538,0.0009538
9,397.123,1.29743,2.22298,1.32539,0.47985,0.38467,0.33174,0.1892,1.62617,2.10644,1.41312,0.0009472,0.0009472,0.0009472
10,426.854,1.29661,2.13657,1.30742,0.59587,0.4019,0.3203,0.20161,1.43912,2.0202,1.33012,0.0009406,0.0009406,0.0009406
11,474.132,1.29846,2.16381,1.30867,0.5894,0.42376,0.29731,0.17482,1.49431,2.26198,1.34131,0.000934,0.000934,0.000934
12,502.47,1.29586,2.18138,1.32642,0.80486,0.3027,0.3244,0.19763,1.55373,2.02157,1.36442,0.0009274,0.0009274,0.0009274
13,530.104,1.26028,2.11794,1.30713,0.68255,0.3552,0.3265,0.18952,1.52564,2.07968,1.33436,0.0009208,0.0009208,0.0009208
14,557.5,1.24351,2.08424,1.30308,0.40932,0.31914,0.33515,0.17963,1.5894,2.02532,1.41612,0.0009142,0.0009142,0.0009142
15,585.261,1.27983,2.03955,1.2981,0.52114,0.3713,0.32564,0.20515,1.38103,1.95232,1.29172,0.0009076,0.0009076,0.0009076
16,613.029,1.23398,2.05925,1.30009,0.79502,0.32701,0.34082,0.22482,1.2442,1.87578,1.24581,0.000901,0.000901,0.000901
17,641.172,1.21554,2.05162,1.27692,0.70852,0.37484,0.35981,0.24798,1.20933,1.80785,1.20012,0.0008944,0.0008944,0.0008944
18,669.163,1.17317,1.92509,1.24019,0.74846,0.36356,0.32322,0.22255,1.18238,1.87556,1.21615,0.0008878,0.0008878,0.0008878
19,696.677,1.20039,1.97222,1.24909,0.65252,0.36977,0.36294,0.25801,1.1324,1.7728,1.1773,0.0008812,0.0008812,0.0008812
20,724.867,1.22547,1.9824,1.27438,0.84061,0.29934,0.36188,0.25425,1.1209,1.74219,1.17877,0.0008746,0.0008746,0.0008746
21,753.137,1.17964,1.9429,1.25922,0.4018,0.35368,0.34737,0.21218,1.43072,1.89258,1.31807,0.000868,0.000868,0.000868
22,780.793,1.15427,1.87704,1.23174,0.66147,0.34269,0.34,0.21471,1.25987,1.88195,1.23342,0.0008614,0.0008614,0.0008614
23,808.275,1.15744,1.88893,1.24939,0.63259,0.37478,0.35029,0.24835,1.14074,1.81067,1.18044,0.0008548,0.0008548,0.0008548
24,836.155,1.17308,1.92853,1.26711,0.63467,0.32759,0.32627,0.22226,1.21056,1.8174,1.21419,0.0008482,0.0008482,0.0008482
25,863.68,1.15259,1.88351,1.24096,0.7996,0.32566,0.32124,0.22104,1.18563,1.77149,1.2062,0.0008416,0.0008416,0.0008416
26,890.825,1.1257,1.81296,1.20728,0.63318,0.40911,0.35738,0.24152,1.16329,1.74486,1.18801,0.000835,0.000835,0.000835
27,917.99,1.1054,1.81288,1.22118,0.49343,0.41154,0.33921,0.21994,1.29156,1.77835,1.24665,0.0008284,0.0008284,0.0008284
28,945.152,1.1026,1.79672,1.21262,0.42447,0.43111,0.38424,0.26586,1.12879,1.72414,1.17974,0.0008218,0.0008218,0.0008218
29,972.44,1.13932,1.88167,1.23174,0.57473,0.36456,0.37228,0.26562,1.06309,1.66684,1.1386,0.0008152,0.0008152,0.0008152
30,999.558,1.10312,1.80328,1.20824,0.53029,0.42878,0.35753,0.25792,1.07564,1.64492,1.14686,0.0008086,0.0008086,0.0008086
31,1026.71,1.06631,1.74893,1.18861,0.41282,0.4396,0.37612,0.27589,1.08751,1.63604,1.15706,0.000802,0.000802,0.000802
32,1053.88,1.08464,1.72453,1.20541,0.5154,0.4328,0.38499,0.27573,1.14986,1.6942,1.18236,0.0007954,0.0007954,0.0007954
33,1081.04,1.07235,1.7291,1.19795,0.72637,0.40805,0.37968,0.27601,1.04891,1.63645,1.1467,0.0007888,0.0007888,0.0007888
34,1108.33,1.07869,1.67687,1.199,0.50939,0.39353,0.36067,0.25895,1.13359,1.69763,1.17933,0.0007822,0.0007822,0.0007822
35,1135.89,1.09774,1.78741,1.2079,0.6736,0.32095,0.37935,0.24967,1.2506,1.79605,1.23764,0.0007756,0.0007756,0.0007756
36,1163.58,1.08066,1.75302,1.19379,0.71426,0.38381,0.40708,0.26571,1.19148,1.65333,1.20295,0.000769,0.000769,0.000769
37,1191.14,1.07434,1.7427,1.19568,0.56946,0.37033,0.39911,0.2562,1.31682,1.70636,1.2394,0.0007624,0.0007624,0.0007624
38,1218.52,1.07547,1.73175,1.19767,0.85115,0.33497,0.41775,0.30605,1.10411,1.64859,1.16733,0.0007558,0.0007558,0.0007558
39,1246.62,1.09532,1.6848,1.18922,0.7503,0.44658,0.46011,0.34737,0.99771,1.63098,1.13672,0.0007492,0.0007492,0.0007492
40,1274.65,1.0897,1.67798,1.19628,0.57214,0.44574,0.41479,0.28153,1.2127,1.66717,1.21153,0.0007426,0.0007426,0.0007426
41,1303.58,1.04639,1.64546,1.16839,0.46869,0.31843,0.38341,0.27306,1.11382,1.67633,1.16229,0.000736,0.000736,0.000736
42,1330.98,1.07111,1.73136,1.20993,0.71422,0.39627,0.40826,0.28805,1.07967,1.64592,1.15614,0.0007294,0.0007294,0.0007294
43,1358.33,1.07225,1.64291,1.17822,0.43144,0.41403,0.42151,0.27263,1.24468,1.6967,1.22054,0.0007228,0.0007228,0.0007228
44,1385.52,1.03862,1.62471,1.16785,0.4389,0.42962,0.39603,0.29527,1.07721,1.65563,1.15646,0.0007162,0.0007162,0.0007162
45,1412.71,1.0548,1.66279,1.1779,0.36125,0.4101,0.40595,0.30553,1.00584,1.64515,1.13731,0.0007096,0.0007096,0.0007096
46,1440.41,1.05413,1.62384,1.17487,0.75171,0.40834,0.41364,0.30393,1.07605,1.69235,1.15407,0.000703,0.000703,0.000703
47,1468.04,1.03531,1.59854,1.16238,0.45219,0.39937,0.41189,0.29412,1.09874,1.64573,1.16383,0.0006964,0.0006964,0.0006964
48,1495.9,1.03064,1.60115,1.16243,0.62857,0.37148,0.40329,0.31385,0.97272,1.59862,1.1162,0.0006898,0.0006898,0.0006898
49,1523.45,1.04361,1.62812,1.15762,0.45613,0.38296,0.39967,0.2789,1.15479,1.67661,1.18039,0.0006832,0.0006832,0.0006832
50,1551.24,1.0332,1.58862,1.16255,0.46158,0.41137,0.39508,0.28947,1.07265,1.63583,1.14616,0.0006766,0.0006766,0.0006766
51,1578.4,0.99345,1.56724,1.14228,0.36325,0.39275,0.36486,0.26959,1.04199,1.65933,1.13506,0.00067,0.00067,0.00067
52,1606.9,1.0086,1.536,1.14373,0.364,0.48007,0.42362,0.30457,1.08886,1.62757,1.15178,0.0006634,0.0006634,0.0006634
53,1634.66,1.02261,1.56317,1.15872,0.36831,0.39462,0.32912,0.24171,1.02609,1.86241,1.15463,0.0006568,0.0006568,0.0006568
54,1662.79,1.00836,1.5435,1.15196,0.32712,0.46032,0.41214,0.30715,1.01581,1.63243,1.13881,0.0006502,0.0006502,0.0006502
55,1702.89,1.00564,1.51283,1.13633,0.33205,0.47863,0.4244,0.31631,1.08678,1.64508,1.15756,0.0006436,0.0006436,0.0006436
56,1764.29,0.99833,1.52975,1.15182,0.45625,0.3345,0.35539,0.26866,0.97726,1.58735,1.12475,0.000637,0.000637,0.000637
57,1791.93,0.98644,1.48453,1.13781,0.48776,0.36696,0.38726,0.28546,1.09769,1.65987,1.16849,0.0006304,0.0006304,0.0006304
58,1819.48,0.97828,1.54457,1.1562,0.34863,0.40081,0.41147,0.30388,1.0356,1.60707,1.14072,0.0006238,0.0006238,0.0006238
59,1846.86,0.98626,1.50707,1.14059,0.37081,0.57457,0.45187,0.34113,1.03852,1.57574,1.14437,0.0006172,0.0006172,0.0006172
