epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.4425,1.62545,1.9303,1.39917,0.55136,0.40789,0.3799,0.26029,1.1163,1.0347,1.07697,0.000366394,0.000366394,0.000366394
2,40.271,1.45751,1.31146,1.27562,0.52784,0.39757,0.34983,0.24211,1.12056,1.24475,1.09238,0.000734296,0.000734296,0.000734296
3,58.4335,1.45513,1.29463,1.27575,0.28578,0.37846,0.34255,0.23599,1.13431,1.03582,1.0899,0.00109975,0.00109975,0.00109975
4,76.2461,1.41568,1.20294,1.26238,0.51774,0.4574,0.37036,0.24906,1.16608,0.99367,1.09734,0.0011,0.0011,0.0011
5,94.7487,1.38543,1.18567,1.25707,0.59461,0.41984,0.42866,0.29886,1.07433,0.92785,1.05598,0.00109633,0.00109633,0.00109633
6,113.946,1.36898,1.14954,1.23447,0.7762,0.44707,0.43919,0.30998,1.0896,0.89523,1.05992,0.00109267,0.00109267,0.00109267
7,133.361,1.33839,1.09967,1.20769,0.59148,0.44531,0.44103,0.3235,1.05137,0.87926,1.05462,0.001089,0.001089,0.001089
8,152.103,1.32429,1.09544,1.20836,0.38526,0.39414,0.38391,0.27554,1.10908,0.91576,1.07579,0.00108534,0.00108534,0.00108534
9,170.892,1.30883,1.06483,1.20755,0.53319,0.42165,0.41379,0.30226,1.00393,0.86891,1.04254,0.00108167,0.00108167,0.00108167
10,189.526,1.28582,1.03445,1.18541,0.56406,0.38809,0.38964,0.28279,1.03657,0.87782,1.0419,0.001078,0.001078,0.001078
11,207.572,1.29466,1.06291,1.19817,0.59661,0.43674,0.44119,0.32039,1.04509,0.83237,1.03557,0.00107434,0.00107434,0.00107434
12,225.256,1.27901,1.03928,1.18488,0.5874,0.45864,0.4596,0.33347,1.01966,0.90415,1.03921,0.00107067,0.00107067,0.00107067
13,242.908,1.25425,1.01904,1.17514,0.6206,0.4381,0.45621,0.34248,0.99793,0.86301,1.0259,0.001067,0.001067,0.001067
14,260.933,1.26231,1.0213,1.17296,0.63438,0.42886,0.45357,0.33332,0.99585,0.80805,1.02981,0.00106334,0.00106334,0.00106334
15,279.258,1.24556,0.99433,1.15937,0.78639,0.48229,0.45516,0.3373,0.99455,0.81994,1.02395,0.00105967,0.00105967,0.00105967
16,297.4,1.21867,0.98359,1.15477,0.58085,0.44419,0.45797,0.34508,0.99864,0.79999,1.02952,0.00105601,0.00105601,0.00105601
17,315.39,1.24387,0.98117,1.16264,0.81116,0.4782,0.50774,0.38815,0.96672,0.78229,1.01442,0.00105234,0.00105234,0.00105234
18,333.415,1.21715,0.95107,1.14754,0.60138,0.44745,0.46498,0.34013,1.03315,0.8001,1.04785,0.00104867,0.00104867,0.00104867
19,351.152,1.20932,0.94239,1.1419,0.61969,0.43426,0.4594,0.34709,1.02762,0.79773,1.03634,0.00104501,0.00104501,0.00104501
20,368.655,1.19453,0.93176,1.14116,0.55413,0.56993,0.48132,0.35324,0.99108,0.84386,1.02981,0.00104134,0.00104134,0.00104134
21,386.033,1.17904,0.9434,1.14568,0.62288,0.42607,0.42719,0.32537,0.96059,0.77,1.01845,0.00103767,0.00103767,0.00103767
22,403.808,1.18837,0.93122,1.1434,0.41679,0.43899,0.4498,0.34142,0.99932,0.81153,1.03854,0.00103401,0.00103401,0.00103401
23,421.299,1.19205,0.92649,1.14019,0.55521,0.47142,0.4169,0.30521,0.99117,0.80101,1.02964,0.00103034,0.00103034,0.00103034
24,438.819,1.17085,0.9072,1.12599,0.65486,0.51728,0.49165,0.36621,0.97072,0.75979,1.02447,0.00102668,0.00102668,0.00102668
25,456.572,1.18163,0.91132,1.13773,0.63669,0.4373,0.47001,0.35857,0.95846,0.80257,1.00995,0.00102301,0.00102301,0.00102301
