split,label_path,line_no,error,raw
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\labels\BubatBarat_20260315_074418_jpg.rf.7b0c504ffa08fbca233eb14afe66c6f4.txt,1,format_bukan_5_kolom,3 0.7522727272727273 0.38977272727272727 0.759090909090909 0.39545454545454545 0.7647727272727273 0.40795454545454546 0.7738636363636363 0.40795454545454546 0.7818181818181819 0.4113636363636364 0.7897727272727273 0.41818181818181815 0.7943181818181818 0.4318181818181818 0.7965909090909091 0.4340909090909091 0.8 0.4329545454545455 0.7988636363636363 0.4784090909090909 0.8011363636363636 0.48068181818181815 0.7931818181818182 0.4943181818181818 0.7897727272727273 0.4738636363636364 0.7795454545454545 0.44886363636363635 0.7784090909090909 0.42045454545454547 0.7715909090909091 0.4113636363636364 0.7647727272727273 0.4090909090909091 0.7613636363636364 0.4125 0.759090909090909 0.41818181818181815 0.759090909090909 0.4465909090909091 0.7522727272727273 0.45340909090909093 0.75 0.45227272727272727 0.7488636363636364 0.44545454545454544 0.7534090909090909 0.43522727272727274 0.75 0.42727272727272725 0.7522727272727273 0.39090909090909093
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\labels\BubatBarat_20260315_074418_jpg.rf.7b0c504ffa08fbca233eb14afe66c6f4.txt,2,format_bukan_5_kolom,3 0.3931818181818182 0.1 0.4068181818181818 0.1 0.40454545454545454 0.11704545454545455 0.4022727272727273 0.11931818181818182 0.39886363636363636 0.11704545454545455 0.3795454545454545 0.11477272727272728 0.37727272727272726 0.10909090909090909 0.3784090909090909 0.10454545454545454 0.3931818181818182 0.10113636363636364
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\labels\BubatBarat_20260315_074418_jpg.rf.7b0c504ffa08fbca233eb14afe66c6f4.txt,3,format_bukan_5_kolom,3 0.8056818181818182 0.12045454545454545 0.8090909090909091 0.12045454545454545 0.8170454545454545 0.14204545454545456 0.8170454545454545 0.1943181818181818 0.8193181818181818 0.19886363636363635 0.8170454545454545 0.20681818181818182 0.803409090909091 0.21704545454545454 0.8 0.22613636363636364 0.7977272727272727 0.22386363636363638 0.7977272727272727 0.1715909090909091 0.7954545454545454 0.16363636363636364 0.7954545454545454 0.14886363636363636 0.8 0.13636363636363635 0.803409090909091 0.1340909090909091 0.8056818181818182 0.1215909090909091
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\labels\BubatBarat_20260315_074418_jpg.rf.7b0c504ffa08fbca233eb14afe66c6f4.txt,4,format_bukan_5_kolom,3 0.675 0.007954545454545454 0.6772727272727272 0.023863636363636365 0.6863636363636364 0.04318181818181818 0.6840909090909091 0.05 0.6840909090909091 0.06363636363636363 0.6772727272727272 0.07840909090909091 0.6715909090909091 0.07954545454545454 0.6625 0.0715909090909091 0.6602272727272728 0.05909090909090909 0.6579545454545455 0.056818181818181816 0.6590909090909091 0.04772727272727273 0.6625 0.042045454545454546 0.6625 0.03068181818181818 0.6659090909090909 0.028409090909090908 0.6670454545454545 0.023863636363636365 0.6670454545454545 0.017045454545454544 0.6681818181818182 0.014772727272727272 0.6727272727272727 0.015909090909090907 0.675 0.013636363636363636 0.675 0.00909090909090909
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\labels\BubatBarat_20260315_074418_jpg.rf.7b0c504ffa08fbca233eb14afe66c6f4.txt,5,format_bukan_5_kolom,3 0.6579545454545455 0.1784090909090909 0.6670454545454545 0.1806818181818182 0.6715909090909091 0.20113636363636364 0.6818181818181818 0.2159090909090909 0.6818181818181818 0.22613636363636364 0.6795454545454546 0.23068181818181818 0.6795454545454546 0.25681818181818183 0.6772727272727272 0.2545454545454545 0.6715909090909091 0.2545454545454545 0.6761363636363636 0.25113636363636366 0.675 0.24659090909090908 0.6613636363636364 0.24659090909090908 0.6579545454545455 0.23522727272727273 0.6579545454545455 0.19886363636363635 0.6556818181818181 0.19090909090909092 0.6579545454545455 0.17954545454545454
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\labels\BubatBarat_20260315_074418_jpg.rf.7b0c504ffa08fbca233eb14afe66c6f4.txt,6,format_bukan_5_kolom,3 0.7556818181818182 0.3931818181818182 0.7647727272727273 0.4056818181818182 0.7727272727272727 0.4056818181818182 0.7897727272727273 0.41818181818181815 0.7897727272727273 0.4238636363636364 0.7988636363636363 0.4409090909090909 0.7988636363636363 0.47954545454545455 0.7931818181818182 0.48295454545454547 0.7852272727272728 0.4590909090909091 0.7806818181818181 0.45340909090909093 0.7772727272727272 0.41818181818181815 0.7715909090909091 0.4113636363636364 0.7670454545454546 0.4090909090909091 0.7636363636363637 0.4102272727272727 0.759090909090909 0.41704545454545455 0.759090909090909 0.4329545454545455 0.7511363636363636 0.42159090909090907 0.7511363636363636 0.4022727272727273 0.7522727272727273 0.3965909090909091 0.7556818181818182 0.39431818181818185
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\labels\BubatBarat_20260315_074418_jpg.rf.7b0c504ffa08fbca233eb14afe66c6f4.txt,7,format_bukan_5_kolom,3 0.6227272727272727 0 0.634090909090909 0 0.6363636363636364 0.003409090909090909 0.6375 0.03295454545454545 0.6363636363636364 0.04431818181818182 0.634090909090909 0.04772727272727273 0.634090909090909 0.05909090909090909 0.625 0.05795454545454545 0.6204545454545455 0.02727272727272727 0.6204545454545455 0.003409090909090909 0.6227272727272727 0.0011363636363636363
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\labels\BubatBarat_20260315_074418_jpg.rf.7b0c504ffa08fbca233eb14afe66c6f4.txt,8,format_bukan_5_kolom,3 0.7375 0.48295454545454547 0.7431818181818182 0.4863636363636364 0.7443181818181818 0.4954545454545455 0.7488636363636364 0.5034090909090909 0.7568181818181818 0.5102272727272728 0.7670454545454546 0.5056818181818182 0.7681818181818182 0.5079545454545454 0.7784090909090909 0.5079545454545454 0.7863636363636364 0.5113636363636364 0.7909090909090909 0.5068181818181818 0.7931818181818182 0.48522727272727273 0.7988636363636363 0.48409090909090907 0.8045454545454546 0.4863636363636364 0.8045454545454546 0.49772727272727274 0.7965909090909091 0.5079545454545454 0.7943181818181818 0.5147727272727273 0.7977272727272727 0.5215909090909091 0.8022727272727272 0.525 0.8022727272727272 0.5295454545454545 0.7943181818181818 0.5329545454545455 0.7931818181818182 0.5772727272727273 0.7931818181818182 0.5590909090909091 0.7886363636363637 0.55 0.7875 0.5420454545454545 0.7818181818181819 0.5386363636363637 0.7761363636363636 0.5409090909090909 0.7715909090909091 0.5477272727272727 0.7670454545454546 0.5659090909090909 0.7670454545454546 0.5875 0.7579545454545454 0.5965909090909091 0.7477272727272727 0.6193181818181818 0.740909090909091 0.6204545454545455 0.7431818181818182 0.615909090909091 0.740909090909091 0.6022727272727273 0.7454545454545455 0.5965909090909091 0.7431818181818182 0.5909090909090909 0.7465909090909091 0.5875 0.7488636363636364 0.5795454545454546 0.7465909090909091 0.5625 0.7477272727272727 0.553409090909091 0.7454545454545455 0.5511363636363636 0.7454545454545455 0.5386363636363637 0.7477272727272727 0.5329545454545455 0.7443181818181818 0.5295454545454545 0.7375 0.5295454545454545 0.7375 0.5238636363636363 0.7443181818181818 0.5193181818181818 0.7454545454545455 0.509090909090909 0.7443181818181818 0.5045454545454545 0.7352272727272727 0.4954545454545455 0.7340909090909091 0.4863636363636364 0.7363636363636363 0.48409090909090907
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\labels\BubatBarat_20260315_074418_jpg.rf.7b0c504ffa08fbca233eb14afe66c6f4.txt,9,format_bukan_5_kolom,3 0.7977272727272727 0.6738636363636363 0.8011363636363636 0.6738636363636363 0.8022727272727272 0.6761363636363636 0.8045454545454546 0.6829545454545455 0.8045454545454546 0.696590909090909 0.8090909090909091 0.7034090909090909 0.8079545454545455 0.7068181818181818 0.8022727272727272 0.7102272727272727 0.8011363636363636 0.7159090909090909 0.8022727272727272 0.7670454545454546 0.8 0.7738636363636363 0.8011363636363636 0.7829545454545455 0.7988636363636363 0.7863636363636364 0.7965909090909091 0.7863636363636364 0.7954545454545454 0.7818181818181819 0.7954545454545454 0.7613636363636364 0.7886363636363637 0.7420454545454546 0.7840909090909091 0.7420454545454546 0.7681818181818182 0.7545454545454545 0.7681818181818182 0.7727272727272727 0.7659090909090909 0.7818181818181819 0.7613636363636364 0.7840909090909091 0.7511363636363636 0.7818181818181819 0.75 0.7340909090909091 0.7534090909090909 0.7261363636363637 0.7534090909090909 0.7113636363636363 0.7477272727272727 0.7034090909090909 0.7420454545454546 0.7034090909090909 0.7397727272727272 0.7 0.7397727272727272 0.6977272727272728 0.7477272727272727 0.696590909090909 0.7511363636363636 0.678409090909091 0.7693181818181818 0.6840909090909091 0.7727272727272727 0.6806818181818182 0.7863636363636364 0.6806818181818182 0.7977272727272727 0.675
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\labels\BubatBarat_20260315_074418_jpg.rf.7b0c504ffa08fbca233eb14afe66c6f4.txt,10,format_bukan_5_kolom,3 0.6465909090909091 0.26136363636363635 0.6488636363636363 0.26931818181818185 0.6545454545454545 0.2715909090909091 0.6568181818181819 0.29659090909090907 0.6522727272727272 0.30454545454545456 0.6522727272727272 0.3125 0.6488636363636363 0.32045454545454544 0.6488636363636363 0.32840909090909093 0.6534090909090909 0.33295454545454545 0.6522727272727272 0.3409090909090909 0.6454545454545455 0.3488636363636364 0.6443181818181818 0.36022727272727273 0.6420454545454546 0.3625 0.6420454545454546 0.3693181818181818 0.6375 0.38181818181818183 0.6306818181818182 0.38181818181818183 0.6238636363636364 0.36477272727272725 0.6215909090909091 0.3306818181818182 0.6284090909090909 0.29545454545454547 0.6227272727272727 0.29204545454545455 0.625 0.2863636363636364 0.6181818181818182 0.28295454545454546 0.6204545454545455 0.2784090909090909 0.6318181818181818 0.2772727272727273 0.6397727272727273 0.2840909090909091 0.6454545454545455 0.2761363636363636 0.6431818181818182 0.2715909090909091 0.6454545454545455 0.2625
